product_name,review_text,rating,source
KIKO MILANO HUG COUTURE: Recensione completa,"il fondotinta in stick sulla mia pelle matura è tremendo : si infila in pori e rughe, e, anche settato con la polvere della stessa collezione ( molto pigmentata) , dopo circa tre ore in alcune zone è proprio sparito, mentre si accumula  nelle rughe di espressione. pessimo acquisto. peccato, perché per i primi cinque minuti ( tempo della prova in negozio) è molto bello.",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna! grazie per questa recensione! continuo a non essere attratta dalle limited di kiko, più da alcuni prodotti in gamma permanente! ❤",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,kiko destinato ha chiudere... sempre vuoto... ogni tanto entro.... ma scappo via di corsa.... che brutii prodotti... che prezzi... vado alla mac  se devo....,3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna ❤ immancabile la tua review e sempre completa e dettagliata! grazie mille, il blush in pot è effettivamente il pezzo più interessante ma concordo sul prezzo eccessivo rispetto alle formule coreane. un abbraccio ❤",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna hai totalmente ragione su tutto quello che hai detto, ho visto la collezione, si i pack molto belli, ma non mi è piaciuto niente di quello che c'era, tutto visto e rivisto, sempre le solite cose e se c'è qualcosa di diverso alla fine per il prezzo non conviene, quindi dopo aver visto la tua recensione ho deciso di non comprare niente, sei di grande aiuto 😄👍❤",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,io guardo tutti i video tuoi anche se non compro kiko da anni ormai.,3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"evvivaaaaaaa🎉🎉🎉🎉🎉🎉🎉🎉🎉 finalmente abbiamo il nostro bel prodotto ciofeca della collezione 😂😂😂😂😂 grazie !!! ora sto meglio 😂😂😂 al di là del gioco io anche cone te e penso come tutti compriamo sempre meno prodotti non solo di kiko ma un po ' di tutti i brand perché ormai si assomigliano tutti, hanno fatto uscire talmente tanto in poco tempo che tutto è troppo, è uguale, è inflazionato. aben vedere questi prodotti li abbiano già tutti e non siano invogliati a comprare perché nessuno ha voglia di prendere doppioni di ciò che già si possiede a prezzi triplicati.  detto ciò,  like, hyoe e un bacione , alla prossima ❤❤❤",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,avevo intravisto questi nuovi blush e mi incuriosiscono molto…grazie per la recensione! le palette pure mi incuriosivano ma mi pare che abbiano ridotto molto le dimensioni dei quad per alzare i prezzi in maniera indecente…quindi doppiamente grazie per questo video!😊,3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna ❤ ho preso il blush come il tuo, speriamo che duri sulla mia pelle mista 😂",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"questa collezione l'ho zompata allegramente, troppo plain (e io che non vedevo l'ora della fine della clean girl era, speravo in qualcosa di coloratissimo e invece... sempre sul pezzo da kiko, devo dire 😂 mannaggetty!)
quantomeno mi sono consolata con una bella palettona di cosmic brushes e con il blush liquido di mulac, quello lilla fotonico (colore bellissimo e adoro quei prodottini, sono ottimi!)",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ora ho le idee chiarissime. sei minuziosa ed esaustiva, come sempre. credo andrò diretta ai blush in pot ❤. grazie annina, le tue recensioni sono preziose ❤",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"stesse medesime considerazioni sul packaging del rossetto (anch’io ho preso lo 03): avevo resistito al my crush di pupa proprio per quanto erano ingombranti, ma questo pack di kiko leggermente più snello mi ha soddisfatto e in più la shade sembrava fatta apposta per me 😍
è sempre un piacere ascoltarti, hype per te!🫶🏻😘",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna !!! le tue recensioni sono sempre top!! amando il rosa sono stata attratta da questa collezione e pensa che ho preso gli stessi prodotti che hai preso tu ovvero il blush ma quello rosa e il rossetto nella tua stessa colorazione. il rossetto è molto bello e grazie davvero per la dritta della matita che sono subito andata a prendere e ci sta benissimo. il blush sono sincera mi ha lasciata un po' perplessa perchè dalla tua recensione sembra essere durevole mentre invece quando lo metto mi sparisce subito e ne devo proprio mettere tanto perchè si veda un pochino. io avevo utilizzato il suo applicatore facendo tre pallini sul viso e poi stendendo col pennello ma ahimè non ha performato bene. proverò come hai fatto tu mettendolo sulla mano e usando un pennello a setole meno fitte, salvo che proprio cambi la performance da colore a colore ma non credo. poi siccome volevo la pochette rosa ( ne avrò tremila !!! 🤣🤣 ) ho preso gli smalti colorazione 02 ma non li ho ancora provati sulle unghie ma su un pezzo di carta bianca. sinceramente quello scuro non mi sembra proprio un topper perchè colora abbastanza e infatti mi sa che non lo sfrutterò piu di tanto ma non per il colore che non è malaccio ma per il fatto che io detesto i brillantini in generale quindi anche sulle unghie e mi da l'idea che si vedano abbastanza.  cmq sperimenterò e vediamo.  ho provato sulla mano in negozio anche il fondo di cui parlavi però per me  che sono mozzarella anche la shade piu chiara virava troppo al giallognolo e quindi nulla. il pennello sarebbe stato carino ma costa troppo e poi non so tu ma con i pennelli di kiko ho avuto pessime esperienze ovvero che perdono i peli in modo inaccettabile e non solo all'inizio che uno potrebbe dire beh è un eccesso che una volta eliminato si stabilizzano. no! continuano a perderli, nel lavello e soprattuto sulla faccia quindi non lo avrei preso anche per questo. a te è mai successo? certo c'è da dire che kiko esagera un po' sia con queste collezioni a raffica sia con i prezzi. vediamo se tra qualche giorno esce la collezione estate 2026 !!!!  🤣se esce aspetto la tua recensione ovviamente! un abbraccio e grazie. manu",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"meravigliosamente accurata e precisa come sempre, apprezzo davvero la tua dedizione a questa ""missione"" sei unica non smettere mai di recensire le collezioni kiko per noi!!",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"sulla collezione la penso come te, non mi fa pensare per niente alla primavera e purtroppo o perfortuna non mi è piaciuto proprio niente, le palettine poi, sciapissime. comunque grazie sempre per le tue preziosissime opinioni 🥰 🥰 🥰",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"arrivo in ritardo, ma apprezzo molto il discorso finale. non vale solo per kiko, anche se sembra che loro ci si mettano proprio di buzzo buono a uscire ogni 3x2 con collezioni nuove, ma un po' tutti i brand ultimamente, anche indi. non se ne può più, ormai ci sfornano palette da 70€ di media l'una ogni 2/3 settimane!!! ho notato che in diverse creator stanno cominciando a chiedere ai brand di darsi una calmata 😅
comunque bravissima che non hai ceduto alla tentazione di prendere il terzo prodotto per avere la pochette gratis!! 👏🏼👏🏼👏🏼
il pennellino gommoso prova ad usarlo per gli shimmer all'angolo interno dell'occhio, io ce l'ho simile e lo uso con le formule più flaky 😊",3,YouTube
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna grazie per la precisa recensione molto utile... ❤
risparmio 😂😂😂",3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,which shade is it?,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,"i have  the  same  lipstick  but it  smells
like  chocolate ❤",3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,"ciao,che numero è il gloss?",3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,لطفا بگو خونه تون کجاستvery good take me pleas,3,YouTube
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,hello❤😊,3,YouTube
